sample_rel,ch,fnum,block,mask,midi,freq
2834483,5,1290,2,15,60.014,261.84
2834547,6,1290,2,15,60.014,261.84
2839357,1,645,0,15,24.014,32.73
2839390,2,1290,0,15,36.014,65.46
2839431,3,767,0,15,27.013,38.92
2839468,4,1534,2,15,63.013,311.36
2839681,5,1290,2,15,60.014,261.84
2839719,6,1290,2,15,60.014,261.84
2844603,4,1367,2,15,61.018,277.47
2844879,5,1290,2,15,60.014,261.84
2844943,6,1290,2,15,60.014,261.84
2849740,1,1290,0,15,36.014,65.46
2849798,2,512,0,15,20.016,25.98
2849839,3,683,0,15,25.005,34.66
2850078,5,1290,2,15,60.014,261.84
2850142,6,1290,1,15,48.014,130.92
2854990,4,1149,2,15,58.01,233.22
2855276,5,1290,2,15,60.014,261.84
2855340,6,1290,2,15,60.014,261.84
2858246,5,1290,2,15,60.014,261.84
2860142,1,645,0,15,24.014,32.73
2860201,2,1290,0,15,36.014,65.46
2860243,3,912,0,15,30.011,46.28
2860279,4,1367,1,15,49.018,138.73
2860474,5,1290,2,15,60.014,261.84
2860538,6,1290,2,15,60.014,261.84
2865396,4,1290,2,15,60.014,261.84
2865673,5,1290,2,15,60.014,261.84
2865736,6,1290,1,15,48.014,130.92
2870533,1,1290,0,15,36.014,65.46
2870566,2,1290,0,15,36.014,65.46
2870608,3,645,0,15,24.014,32.73
2870644,4,1290,1,15,48.014,130.92
2870871,5,1290,2,15,60.014,261.84
2870935,6,1290,2,15,60.014,261.84
2875787,4,1290,2,15,60.014,261.84
2876069,5,1290,2,15,60.014,261.84
2876151,6,1290,1,15,48.014,130.92
2880935,1,645,0,15,24.014,32.73
2881001,3,861,0,15,29.015,43.69
2881038,4,1149,2,15,58.01,233.22
2881274,5,1290,2,15,60.014,261.84
2881343,6,1290,2,15,60.014,261.84
2886132,2,1290,0,15,36.014,65.46
2886199,4,1024,2,15,56.016,207.85
2886470,5,1290,2,15,60.014,261.84
2886508,6,1290,2,15,60.014,261.84
2891326,1,1290,0,15,36.014,65.46
2891384,2,512,0,15,20.016,25.98
2891425,3,767,0,15,27.013,38.92
2891664,5,1290,2,15,60.014,261.84
2891729,6,1290,1,15,48.014,130.92
2896577,4,1290,1,15,48.014,130.92
2896863,5,1290,2,15,60.014,261.84
2896927,6,1290,2,15,60.014,261.84
2901729,1,645,0,15,24.014,32.73
2901788,2,1290,0,15,36.014,65.46
2901829,3,812,0,15,28.0,41.2
2901866,4,1290,2,15,60.014,261.84
2902061,5,1290,2,15,60.014,261.84
2902125,6,1290,1,15,48.014,130.92
2906983,4,1367,2,15,61.018,277.47
2907259,5,1290,2,15,60.014,261.84
2907323,6,1290,1,15,48.014,130.92
2912119,1,1290,0,15,36.014,65.46
2912153,2,1290,0,15,36.014,65.46
2912194,3,724,0,15,26.014,36.74
2912458,5,1290,2,15,60.014,261.84
2912496,6,1290,2,15,60.014,261.84
2917384,4,1722,1,15,53.015,174.76
2917656,5,1290,2,15,60.014,261.84
2917720,6,1290,1,15,48.014,130.92
2922532,1,645,0,15,24.014,32.73
2922569,2,1290,0,15,36.014,65.46
2922610,3,767,0,15,27.013,38.92
2922647,4,1534,2,15,63.013,311.36
2922854,5,1290,2,15,60.014,261.84
2922892,6,1290,2,15,60.014,261.84
2927784,4,1367,2,15,61.018,277.47
2928053,5,1290,2,15,60.014,261.84
2928116,6,1290,2,15,60.014,261.84
2932919,1,1290,0,15,36.014,65.46
2932976,2,512,0,15,20.016,25.98
2933018,3,683,0,15,25.005,34.66
2933251,5,1290,2,15,60.014,261.84
2933315,6,1290,1,15,48.014,130.92
2938163,4,1149,2,15,58.01,233.22
2938449,5,1290,2,15,60.014,261.84
2938513,6,1290,2,15,60.014,261.84
2943315,1,645,0,15,24.014,32.73
2943375,2,1290,0,15,36.014,65.46
2943416,3,912,0,15,30.011,46.28
2943452,4,1367,1,15,49.018,138.73
2943648,5,1290,2,15,60.014,261.84
2943712,6,1290,1,15,48.014,130.92
2948570,4,1290,2,15,60.014,261.84
2948846,5,1290,2,15,60.014,261.84
2948910,6,1290,1,15,48.014,130.92
2953706,1,1290,0,15,36.014,65.46
2953739,2,1290,0,15,36.014,65.46
2953781,3,645,0,15,24.014,32.73
2953817,4,1290,1,15,48.014,130.92
2954044,5,1290,2,15,60.014,261.84
2954108,6,1290,2,15,60.014,261.84
2958960,4,1290,2,15,60.014,261.84
2959243,5,1290,2,15,60.014,261.84
2959307,6,1290,1,15,48.014,130.92
2964109,1,645,0,15,24.014,32.73
